year,Accident title,Date,Location,Coordinates,Cause,Deaths,Latitude,Longitude,Causetype
1833,Hightstown Rail Accident,"8, November, 1833","Cranbury, Cranbury Township, Middlesex County, New Jersey, United States",40.3099385;-74.51772241230152,hot box causing axle to break,2,40.3099385,-74.51772241230152,Technical Error
1838,Harrow Rail Accident,"7, August, 1838","Harrow, Middlesex, England","Harrow, Middlesex, England",missing info,1,,,Cause information missing
1840,Howden Rail Accident,"7, August, 1840","Howden, East Riding of Yorkshire, Yorkshire and the Humber, England, United Kingdom",53.76681;-0.87632,inadequately secured load,5,53.76681,-0.87632,Human Error
1841,Sonning Cutting Railway Accident,"24, December, 1841","Sonning Cutting, Berkshire","Sonning Cutting, Berkshire",line obstructed ,9,,,Track/Rail Error
1842,Versailles Rail Accident,"8, May, 1842","Ligne 15 Sud du Grand Paris Express, Impasse Jeanne d'Arc, Les Voisinoux, Meudon-sur-Seine, Meudon, Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France métropolitaine, 92190, France",48.81833;2.23111,broken axle,126,48.81833,2.23111,Technical Error
1845,Penistone Rail Accidents,"16, July, 1845","Bullhouse Bridge, Ecklands, Penistone, Millhouse Green, Barnsley, Yorkshire and the Humber, England, S36 9NS, United Kingdom",53.5203;-1.6752,axle failure,24,53.5203,-1.6752,Technical Error
1847,Dee Bridge Disaster,"24, May, 1847","Chester, Cheshire West and Chester, North West England, England, CH1 2ET, United Kingdom",53.183;-2.895,bridge fail,5,53.183,-2.895,Bridge Failure
1851,Sutton Tunnel Railway Accident,"30, April, 1851","Frodsham, Cheshire West and Chester, North West England, England, United Kingdom",53.2963636;-2.7114845,unprotected train ,9,53.2963636,-2.7114845,Other
1853,Providence And Worcester Head-On Collision,"12, August, 1853","Valley Falls, Cumberland, Providence County, Rhode Island, 02863, United States",41.9067663;-71.3906119,human error,14,41.9067663,-71.3906119,Human Error
1853,Norwalk Rail Accident,"6, May, 1853","Norwalk, Fairfield County, Connecticut, United States",41.1175966;-73.4078968,signal passed at danger,48,41.1175966,-73.4078968,Signalling Error
1854,Jeannette'S Creek Train Wreck,"27, October, 1854","Chatham-Kent, Southwestern Ontario, Ontario, Canada",42.41833;-82.0898417,missing info,52,42.41833,-82.0898417,Cause information missing
1855,Gasconade Bridge Train Disaster,"1, November, 1855","Gasconade County, Missouri, United States",38.4575789;-91.5177499,disputed,30,38.4575789,-91.5177499,Other
1856,Great Train Wreck Of 1856,"17, July, 1856","Whitemarsh Township, Montgomery County, Pennsylvania, 19444, United States",40.1287944;-75.2029333,human error,60,40.1287944,-75.2029333,Human Error
1856,Great Train Wreck Of 1856,"17, July, 1856","Whitemarsh Township, Montgomery County, Pennsylvania, 19444, United States",40.1287944;-75.2029333,human error,60,40.1287944,-75.2029333,Human Error
