index,year,accident,accident_url,infobox,Accident title,Date,Location,Coordinates,Cause,Deaths
0,1815,/wiki/1815_Philadelphia_train_accident,https://en.wikipedia.org//wiki/1815_Philadelphia_train_accident,No infobox,,,,,,
0,1815,/wiki/Steam_Horse_locomotive,https://en.wikipedia.org//wiki/Steam_Horse_locomotive,not a train accident,,,,,,
13,1828,/wiki/Locomotion_No._1,https://en.wikipedia.org//wiki/Locomotion_No._1,not a train accident,,,,,,
15,1830,/wiki/William_Huskisson,https://en.wikipedia.org//wiki/William_Huskisson,not a train accident,,,,,,
16,1831,/wiki/Best_Friend_of_Charleston,https://en.wikipedia.org//wiki/Best_Friend_of_Charleston,not a train accident,,,,,,
17,1832,/wiki/Granite_Railway,https://en.wikipedia.org//wiki/Granite_Railway,not a train accident,,,,,,
18,1833,/wiki/Hightstown_rail_accident,https://en.wikipedia.org//wiki/Hightstown_rail_accident,"{'Date': 'November 8, 1833', 'Accident title': 'Hightstown rail accident', 'Location': 'Cranbury, New Jersey[1]', 'Country': 'United States', 'Line': 'South Amboy to Bordentown', 'Operator': 'Camden and Amboy Railroad', 'Incident type': 'Derailment', 'Cause': 'Hot box causing axle to break', 'Trains': '1', 'Deaths': '2', 'Injured': '21'}",Hightstown rail accident,"November 8, 1833","Cranbury, New Jersey[1]",,Hot box causing axle to break,2
21,1836,/wiki/1836_Wetheral_train_accident,https://en.wikipedia.org//wiki/1836_Wetheral_train_accident,No infobox,,,,,,
23,1838,/wiki/1838_Harrow_rail_accident,https://en.wikipedia.org//wiki/1838_Harrow_rail_accident,"{'Date': '7 August 1838', 'Accident title': '1838 Harrow rail accident', 'Location': 'near Harrow, Middlesex, England', 'Operator': 'London and Birmingham Railway', 'Incident type': 'fall from a train', 'Deaths': '1'}",1838 Harrow rail accident,7 August 1838,"near Harrow, Middlesex, England",,,1
25,1840,/wiki/Howden_rail_accident,https://en.wikipedia.org//wiki/Howden_rail_accident,"{'Date': '7 August 1840', 'Accident title': 'Howden rail accident', 'Location': 'Howden, Yorkshire', 'Coordinates': '53°46′01″N 0°52′35″W\ufeff / \ufeff53.76681°N 0.87632°W\ufeff / 53.76681; -0.87632Coordinates: 53°46′01″N 0°52′35″W\ufeff / \ufeff53.76681°N 0.87632°W\ufeff / 53.76681; -0.87632', 'Country': 'England, UK', 'Line': 'Hull and Selby Railway', 'Cause': 'Inadequately secured load', 'Trains': '1', 'Deaths': '5', 'Damage': '1 train'}",Howden rail accident,7 August 1840,"Howden, Yorkshire", 53.76681; -0.87632,Inadequately secured load,5
25,1840,/wiki/Surprise_(locomotive),https://en.wikipedia.org//wiki/Surprise_(locomotive),not a train accident,,,,,,
26,1841,/wiki/Sonning_Cutting_railway_accident,https://en.wikipedia.org//wiki/Sonning_Cutting_railway_accident,"{'Date': '24 December 1841 ~06:50 am', 'Accident title': 'Sonning Cutting railway accident', 'Location': 'Sonning Cutting, Berkshire', 'Country': 'England', 'Line': 'Great Western Main Line', 'Cause': 'Line obstructed (landslip)', 'Trains': '1', 'Deaths': '9', 'Injured': '16'}",Sonning Cutting railway accident,24 December 1841 ~06:50 am,"Sonning Cutting, Berkshire",,Line obstructed (landslip),9
